mode,hand,grip,target,median_ms,p25_ms,p75_ms,miss_rate,n,ratio,tier
reach,visible,free,I3,745,727,942,0.000,5,1.000,1
reach,visible,free,I2,750,719,945,0.000,5,1.007,1
reach,visible,free,P1,765,709,951,0.000,5,1.027,1
reach,visible,free,M2,801,702,1002,0.200,5,1.075,1
reach,visible,free,M3,803,771,842,0.000,5,1.078,1
reach,visible,free,P3,808,765,851,0.000,5,1.085,1
reach,visible,free,M1,821,714,950,0.200,5,1.102,1
reach,visible,free,R3,863,703,1260,0.000,5,1.158,2
reach,visible,free,R1,886,848,985,0.200,5,1.189,2
reach,visible,free,I1,894,703,971,0.000,5,1.200,2
reach,visible,free,P2,902,860,1103,0.000,5,1.211,2
reach,visible,free,R2,948,807,1384,0.200,5,1.272,2
reach,hidden,free,I3,745,715,824,0.000,15,1.000,1
reach,hidden,free,I1,753,735,853,0.000,15,1.011,1
reach,hidden,free,R3,775,709,822,0.000,15,1.040,1
reach,hidden,free,P3,798,735,918,0.000,15,1.071,1
reach,hidden,free,R1,819,771,887,0.000,15,1.099,1
reach,hidden,free,M3,844,768,939,0.000,15,1.133,1
reach,hidden,free,I2,853,771,967,0.067,15,1.145,1
reach,hidden,free,M2,855,798,1031,0.133,15,1.148,1
reach,hidden,free,P1,868,767,1014,0.067,15,1.165,2
reach,hidden,free,R2,897,854,1173,0.200,15,1.204,2
reach,hidden,free,M1,937,856,1078,0.067,15,1.258,2
reach,hidden,free,P2,988,873,1098,0.267,15,1.326,2
transition,hidden,free,M1→M3,590,563,635,0.000,5,1.000,1
transition,hidden,free,R1→R3,688,682,753,0.000,5,1.166,2
transition,hidden,free,I1→I3,715,687,723,0.000,5,1.212,2
transition,hidden,free,P1→P3,762,757,832,0.000,5,1.292,2
transition,hidden,free,I1→M1,768,727,1369,0.000,5,1.302,2
transition,hidden,free,I3→M3,778,710,829,0.000,5,1.319,2
transition,hidden,free,I3→I1,882,835,927,0.000,5,1.495,3
transition,hidden,free,I3→R3,1038,994,1050,0.000,5,1.759,4
transition,hidden,free,P1→I1,1056,898,1082,0.000,5,1.790,4
transition,hidden,free,I2→P2,1064,1020,1128,0.000,5,1.803,4
transition,hidden,free,I1→R1,1135,993,1155,0.000,5,1.924,4
transition,hidden,free,P2→I2,1162,1077,1669,0.000,5,1.969,4
transition,hidden,free,I1→P1,1199,765,1787,0.000,5,2.032,4
